1	6 
2	8 
3	7 
4	5 
5	1 
6	2 
7	7 
8	7 
9	6 
10	4 
11	6 
12	2 
13	10 
14	4 
15	7 
16	9 
17	3 
18	4 
19	9 
20	9 
21	1 
22	8 
23	8 
24	3 
25	2 
26	1 
27	4 
28	4 
29	8 
30	10 
31	7 
32	2 
33	2 
34	9 
35	5 
36	9 
37	4 
38	6 
39	1 
40	5 
41	9 
42	1 
43	4 
44	6 
45	2 
46	8 
47	5 
48	1 
49	6 
50	6 
51	4 
52	10 
53	4 
54	4 
55	5 
56	7 
57	7 
58	3 
59	5 
60	10 
61	3 
62	1 
63	4 
64	3 
65	8 
66	5 
67	9 
68	3 
69	3 
70	4 
71	10 
72	10 
73	3 
74	9 
75	10 
76	4 
77	8 
78	4 
79	7 
80	4 
81	8 
82	8 
83	8 
84	10 
85	8 
86	8 
87	7 
88	8 
89	10 
90	8 
91	8 
92	7 
93	8 
94	10 
95	4 
96	4 
97	4 
98	8 
99	4 
100	7 
101	4 
102	8 
103	4 
104	4 
105	4 
106	8 
107	8 
108	4 
109	8 
110	8 
111	4 
112	8 
113	8 
114	8 
115	4 
116	8 
117	4 
118	8 
119	8 
120	4 
